written 0 rows (0 ms)
written 1568000 rows  (1484 ms)
written 1576000 rows  (1378 ms)
written 1584000 rows  (1080 ms)
written 1592000 rows  (1020 ms)
written 1600000 rows  (998 ms)
written 1608000 rows  (1358 ms)
written 1616000 rows  (1024 ms)
written 1624000 rows  (983 ms)
written 1632000 rows  (1122 ms)
written 1640000 rows  (1459 ms)
written 1648000 rows  (999 ms)
written 1656000 rows  (1058 ms)
written 1664000 rows  (1011 ms)
written 1672000 rows  (1044 ms)
written 1680000 rows  (1738 ms)
written 1688000 rows  (1084 ms)
written 1696000 rows  (1305 ms)
written 1704000 rows  (1009 ms)
written 1712000 rows  (1141 ms)
written 1720000 rows  (1093 ms)
written 1728000 rows  (1090 ms)
written 1736000 rows  (999 ms)
written 1744000 rows  (1070 ms)
written 1752000 rows  (1025 ms)
written 1760000 rows  (1353 ms)
written 1768000 rows  (1002 ms)
written 1776000 rows  (1240 ms)
written 1784000 rows  (1479 ms)
written 1792000 rows  (1029 ms)
written 1800000 rows  (1050 ms)
written 1808000 rows  (1030 ms)
written 1816000 rows  (1100 ms)
written 1824000 rows  (2416 ms)
written 1832000 rows  (1244 ms)
written 1840000 rows  (1014 ms)
written 1848000 rows  (1055 ms)
written 1856000 rows  (1009 ms)
written 1864000 rows  (1591 ms)
written 1872000 rows  (1483 ms)
written 1880000 rows  (2761 ms)
written 1888000 rows  (1299 ms)
written 1896000 rows  (1237 ms)
written 1904000 rows  (1883 ms)
written 1912000 rows  (2369 ms)
written 1920000 rows  (1902 ms)
written 1928000 rows  (1495 ms)
written 1936000 rows  (1274 ms)
written 1944000 rows  (1133 ms)
written 1952000 rows  (1419 ms)
written 1960000 rows  (1151 ms)
written 1968000 rows  (999 ms)
written 1976000 rows  (1138 ms)
written 1984000 rows  (2035 ms)
written 1992000 rows  (1981 ms)
written 2000000 rows  (1507 ms)
written 2008000 rows  (1017 ms)
written 2016000 rows  (1988 ms)
written 2024000 rows  (1165 ms)
written 2032000 rows  (1101 ms)
written 2040000 rows  (1150 ms)
written 2048000 rows  (1241 ms)
written 2056000 rows  (1348 ms)
written 2064000 rows  (1285 ms)
written 2072000 rows  (1095 ms)
written 2080000 rows  (2246 ms)
written 2088000 rows  (1184 ms)
written 2096000 rows  (1462 ms)
written 2104000 rows  (1084 ms)
written 2112000 rows  (1387 ms)
written 2120000 rows  (1042 ms)
written 2128000 rows  (1316 ms)
written 2136000 rows  (1618 ms)
written 2144000 rows  (2273 ms)
written 2152000 rows  (1022 ms)
written 2160000 rows  (1343 ms)
written 2168000 rows  (1257 ms)
written 2176000 rows  (1601 ms)
written 2184000 rows  (1298 ms)
written 2192000 rows  (1076 ms)
written 2200000 rows  (1731 ms)
written 2208000 rows  (1276 ms)
written 2216000 rows  (1259 ms)
written 2224000 rows  (1638 ms)
written 2232000 rows  (1124 ms)
written 2240000 rows  (1178 ms)
written 2248000 rows  (1165 ms)
written 2256000 rows  (1540 ms)
written 2264000 rows  (1182 ms)
written 2272000 rows  (1630 ms)
written 2280000 rows  (1030 ms)
written 2288000 rows  (1142 ms)
written 2296000 rows  (1221 ms)
written 2304000 rows  (1154 ms)
written 2312000 rows  (1137 ms)
written 2320000 rows  (1120 ms)
written 2328000 rows  (1409 ms)
written 2336000 rows  (1492 ms)
written 2344000 rows  (1001 ms)
written 2352000 rows  (999 ms)
written 2360000 rows  (985 ms)
written 2368000 rows  (1817 ms)
written 2376000 rows  (1143 ms)
written 2384000 rows  (995 ms)
written 2392000 rows  (1013 ms)
written 2400000 rows  (1281 ms)
written 2408000 rows  (1382 ms)
written 2416000 rows  (1179 ms)
written 2424000 rows  (1152 ms)
written 2432000 rows  (1299 ms)
written 2440000 rows  (989 ms)
written 2448000 rows  (1195 ms)
written 2456000 rows  (1232 ms)
written 2464000 rows  (1699 ms)
written 2472000 rows  (2284 ms)
written 2480000 rows  (1019 ms)
written 2488000 rows  (1226 ms)
written 2496000 rows  (1074 ms)
written 2504000 rows  (1488 ms)
written 2512000 rows  (1087 ms)
written 2520000 rows  (1067 ms)
written 2528000 rows  (1316 ms)
written 2536000 rows  (1030 ms)
written 2544000 rows  (1230 ms)
written 2552000 rows  (2060 ms)
written 2560000 rows  (1517 ms)
written 2568000 rows  (993 ms)
written 2576000 rows  (1068 ms)
written 2584000 rows  (1238 ms)
written 2592000 rows  (1315 ms)
written 2600000 rows  (1082 ms)
written 2608000 rows  (996 ms)
written 2616000 rows  (1222 ms)
written 2624000 rows  (1053 ms)
written 2632000 rows  (1103 ms)
written 2640000 rows  (3608 ms)
written 2648000 rows  (1277 ms)
written 2656000 rows  (1297 ms)
written 2664000 rows  (1043 ms)
written 2672000 rows  (1254 ms)
written 2680000 rows  (1014 ms)
written 2688000 rows  (1138 ms)
written 2696000 rows  (1107 ms)
written 2704000 rows  (1038 ms)
written 2712000 rows  (1212 ms)
written 2720000 rows  (1852 ms)
written 2728000 rows  (1179 ms)
written 2736000 rows  (1683 ms)
written 2744000 rows  (1597 ms)
written 2752000 rows  (1094 ms)
written 2760000 rows  (1043 ms)
written 2768000 rows  (927 ms)
written 2776000 rows  (1663 ms)
written 2784000 rows  (1357 ms)
written 2792000 rows  (995 ms)
written 2800000 rows  (1000 ms)
written 2808000 rows  (1213 ms)
written 2816000 rows  (1055 ms)
written 2824000 rows  (1147 ms)
written 2832000 rows  (1025 ms)
written 2840000 rows  (1297 ms)
written 2848000 rows  (1262 ms)
written 2856000 rows  (1512 ms)
written 2864000 rows  (1683 ms)
written 2872000 rows  (1248 ms)
written 2880000 rows  (1047 ms)
written 2888000 rows  (1074 ms)
written 2896000 rows  (1016 ms)
written 2904000 rows  (1028 ms)
written 2912000 rows  (1592 ms)
written 2920000 rows  (1667 ms)
written 2928000 rows  (1091 ms)
written 2936000 rows  (1142 ms)
written 2944000 rows  (1036 ms)
written 2952000 rows  (1622 ms)
written 2960000 rows  (1101 ms)
written 2968000 rows  (1228 ms)
written 2976000 rows  (1139 ms)
written 2984000 rows  (1393 ms)
written 2992000 rows  (1165 ms)
written 3000000 rows  (1832 ms)
written 3008000 rows  (1118 ms)
written 3016000 rows  (1171 ms)
written 3024000 rows  (1148 ms)
written 3032000 rows  (1133 ms)
written 3040000 rows  (1108 ms)
written 3048000 rows  (1888 ms)
written 3056000 rows  (1143 ms)
written 3064000 rows  (1259 ms)
written 3072000 rows  (1134 ms)
written 3080000 rows  (2018 ms)
written 3088000 rows  (1279 ms)
written 3096000 rows  (1737 ms)
written 3104000 rows  (4467 ms)
written 3112000 rows  (1901 ms)
written 3120000 rows  (992 ms)
written 3128000 rows  (2011 ms)
written 3136000 rows  (1164 ms)
written 3144000 rows  (1293 ms)
written 3152000 rows  (1015 ms)
written 3160000 rows  (1126 ms)
written 3168000 rows  (1139 ms)
written 3176000 rows  (1498 ms)
written 3184000 rows  (1360 ms)
written 3192000 rows  (1494 ms)
written 3200000 rows  (1253 ms)
written 3208000 rows  (2286 ms)
written 3216000 rows  (1763 ms)
written 3224000 rows  (1043 ms)
written 3232000 rows  (1252 ms)
written 3240000 rows  (2673 ms)
written 3248000 rows  (1030 ms)
written 3256000 rows  (4412 ms)
written 3264000 rows  (1552 ms)
written 3272000 rows  (1131 ms)
written 3280000 rows  (1179 ms)
written 3288000 rows  (1168 ms)
written 3296000 rows  (1019 ms)
written 3304000 rows  (1507 ms)
written 3312000 rows  (1126 ms)
written 3320000 rows  (1021 ms)
written 3328000 rows  (1015 ms)
written 3336000 rows  (1161 ms)
written 3344000 rows  (2086 ms)
written 3352000 rows  (2743 ms)
written 3360000 rows  (2762 ms)
written 3368000 rows  (5198 ms)
written 3376000 rows  (3450 ms)
written 3384000 rows  (4556 ms)
written 3392000 rows  (5651 ms)
written 3400000 rows  (4413 ms)
written 3408000 rows  (2631 ms)
written 3416000 rows  (2863 ms)
written 3424000 rows  (3857 ms)
written 3432000 rows  (2852 ms)
written 3440000 rows  (3040 ms)
written 3448000 rows  (2836 ms)
written 3456000 rows  (2626 ms)
written 3464000 rows  (2756 ms)
